Generators,GeneratorType,BusGenerator,MinRunCapacity,MaxRunCapacity,RampUp,RampDown,UT,DT,MaxTransitionLevel,FuelCost,FuelGenerator,FHGenerator,StartupCost,hr1,hr2,hr3,hr4,f1,f2,f3,R2U,R2D,R3U,R3D,Technology,
GConv29,SLOW,D-120,6,75,1.5,1.5,12,8,6,6.9228,NAT_GAS,FH_NCG,4568.078232,10.2857,,,,0,,,7.5,0,14.25,0,GST,24
GConv30,SLOW,D-120,74,185,3.7,3.7,24,12,74,2.0205,COAL,FH_ARA,9223.731742,9.7297,,,,0,,,0,0,0,0,CST,24
GConv31,SLOW,D-120,124,310,6.2,6.2,24,12,124,2.0205,COAL,FH_ARA,14985.64355,9.7297,,,,0,,,31,0,0,0,CST,24
GConv32,FAST,D-27,12,50,2.5,2.5,2,2,50,6.9228,NAT_GAS,FH_NCG,869.15754,7.2108,8.022,8.2023,,67.6014,47.3218,40.561,12.5,0,0,0,GT,24
GConv33,NUCLEAR,D-56,664.5,1329,44.3,44.3,168,168,664.5,0.6948,NUCLEAR,FH_GERMANY,28800.33293,9.2291,9.9055,10.5818,,1558.5545,1109.0807,434.9636,0,0,0,110.4,NUCLEAR,24
GConv34,SLOW,D-170,77.6,194,3.88,3.88,24,12,77.6,2.0205,COAL,FH_ARA,9378.112418,9.7297,,,,0,,,0,0,0,0,CST,24
GConv35,SLOW,D-170,77.6,194,3.88,3.88,24,12,77.6,2.0205,COAL,FH_ARA,9378.112418,9.7297,,,,0,,,0,0,0,0,CST,24
GConv36,SLOW,D-26,138,345,6.9,6.9,24,12,138,2.0205,COAL,FH_ARA,17921.52655,9.068,,,,0,,,0,0,0,0,CST,24
GConv37,SLOW,D_Siersd,32.8,82,0.82,0.82,24,12,32.8,1.0815,LIGNITE,FH_GERMANY,3522.141969,12,,,,0,,,0,4.1,0,0,CST,24
GConv38,SLOW,D-129,30.6,383,7.66,7.66,12,8,30.6,6.9228,NAT_GAS,FH_NCG,26068.24628,6.345,6.81,7.275,,308.7938,219.7463,86.175,38.3,0,72.77,0,GST,24
GConv39,SLOW,D-129,35.2,440,8.8,8.8,12,8,35.2,6.9228,NAT_GAS,FH_NCG,29947.85474,7.2,,,,0,,,44,0,83.6,0,GST,24
GConv40,FAST,D-129,13.2,55,2.75,2.75,2,2,55,6.9228,NAT_GAS,FH_NCG,956.073294,7.6254,8.1843,8.7431,,53.2924,37.9237,14.8729,13.75,0,25.3,0,GT,24
GConv41,FAST,D-190,38.9,162,8.1,8.1,2,2,162,6.9228,NAT_GAS,FH_NCG,2816.07043,8.0147,8.6021,9.1895,,164.9842,117.4078,46.0389,40.5,0,0,0,GT,24
GConv42,CHP,D-126,136.8,285,0.18667,0.18667,24,12,282.2,1.0815,LIGNITE,FH_GERMANY,9192.798164,8.2286,9.1543,9.36,,439.7143,307.798,263.8286,0,0,0,2.80005,CHP,24
GConv43,SLOW,D-126,114,285,2.85,2.85,24,12,114,1.0815,LIGNITE,FH_GERMANY,12010.13834,10.2857,,,,0,,,0,0,0,42.75,CST,24
GConv44,FAST,D-188,4.8,20,1,1,2,2,20,6.9228,NAT_GAS,FH_NCG,347.663016,7.2108,7.4812,8.7431,,27.0406,24.3367,5.4083,5,0,9.2,0,GT,24
GConv45,FAST,D-188,5.2,21.5,1.075,1.075,2,2,21.5,6.9228,NAT_GAS,FH_NCG,373.7377422,7.2108,8.022,8.2023,,29.0686,20.3484,17.4412,5.375,0,9.85,0,GT,24
GConv46,FAST,D-101,50.9,212,10.6,10.6,2,2,212,6.9228,NAT_GAS,FH_NCG,3685.22797,9.0135,,,,0,,,53,0,97.5,0,GT,24
GConv47,FAST,D-112,50.9,212,10.6,10.6,2,2,212,6.9228,NAT_GAS,FH_NCG,3685.22797,9.0136,,,,0,,,53,0,0,0,GT,24
GConv48,FAST,D-116,69.6,290,14.5,14.5,2,2,290,6.9228,NAT_GAS,FH_NCG,5041.113732,8.2287,8.5381,9.9776,,447.4286,402.6919,89.495,72.5,0,0,0,GT,24
GConv49,FAST,D-129,69.6,290,14.5,14.5,2,2,290,6.9228,NAT_GAS,FH_NCG,5041.113732,8.2286,8.5371,9.9771,,447.4286,402.6919,89.495,72.5,0,123.8,0,GT,24
